GENESIS-Tabelle: 12211-9001
Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen: Deutschland, Jahre (bis 2019), Altersgruppen;;;;
Mikrozensus;;;;
Deutschland;;;;
;;Erwerbstätige;Erwerbslose;Nichterwerbspersonen
30 bis unter 35 Jahre;04/1998;5297;550;949
30 bis unter 35 Jahre;04/1999;5271;498;870
30 bis unter 35 Jahre;05/2000;5170;430;855
30 bis unter 35 Jahre;04/2001;4957;417;813
30 bis unter 35 Jahre;04/2002;4741;456;755
30 bis unter 35 Jahre;05/2003;4404;508;683
30 bis unter 35 Jahre;03/2004;4025;513;688
30 bis unter 35 Jahre;2005;3854;458;779
30 bis unter 35 Jahre;2006;3776;401;667
30 bis unter 35 Jahre;2007;3727;340;645
30 bis unter 35 Jahre;2008;3700;307;676
30 bis unter 35 Jahre;2009;3731;330;653
30 bis unter 35 Jahre;2010;3841;307;667
30 bis unter 35 Jahre;2011;3899;251;633
30 bis unter 35 Jahre;2012;4003;230;642
30 bis unter 35 Jahre;2013;4077;243;656
30 bis unter 35 Jahre;2014;4160;241;666
30 bis unter 35 Jahre;2015;4192;228;673
30 bis unter 35 Jahre;2016;4297;213;736
30 bis unter 35 Jahre;2017;4359;194;723
30 bis unter 35 Jahre;2018;4394;178;712
30 bis unter 35 Jahre;2019;4512;173;705
35 bis unter 40 Jahre;04/1991;4541;293;759
35 bis unter 40 Jahre;05/1992;4595;385;756
35 bis unter 40 Jahre;04/1993;4584;445;784
35 bis unter 40 Jahre;04/1994;4664;491;792
35 bis unter 40 Jahre;04/1995;4776;474;817
35 bis unter 40 Jahre;04/1996;4947;465;863
35 bis unter 40 Jahre;04/1997;4984;551;855
35 bis unter 40 Jahre;04/1998;5130;548;848
35 bis unter 40 Jahre;04/1999;5357;494;814
35 bis unter 40 Jahre;05/2000;5539;476;808
35 bis unter 40 Jahre;04/2001;5637;484;793
35 bis unter 40 Jahre;04/2002;5586;543;794
35 bis unter 40 Jahre;05/2003;5511;602;763
35 bis unter 40 Jahre;03/2004;5320;613;765
35 bis unter 40 Jahre;2005;5288;547;829
35 bis unter 40 Jahre;2006;5185;503;755
35 bis unter 40 Jahre;2007;5041;404;708
35 bis unter 40 Jahre;2008;4794;340;688
35 bis unter 40 Jahre;2009;4437;324;658
35 bis unter 40 Jahre;2010;4181;304;629
35 bis unter 40 Jahre;2011;3990;223;583
35 bis unter 40 Jahre;2012;3897;215;558
35 bis unter 40 Jahre;2013;3917;195;578
35 bis unter 40 Jahre;2014;4025;198;584
35 bis unter 40 Jahre;2015;4144;191;592
35 bis unter 40 Jahre;2016;4229;183;650
35 bis unter 40 Jahre;2017;4356;169;647
35 bis unter 40 Jahre;2018;4407;160;624
35 bis unter 40 Jahre;2019;4524;147;618
40 bis unter 45 Jahre;04/1991;4322;247;709
40 bis unter 45 Jahre;05/1992;4420;330;680
40 bis unter 45 Jahre;04/1993;4530;404;697
40 bis unter 45 Jahre;04/1994;4562;444;690
40 bis unter 45 Jahre;04/1995;4601;427;689
40 bis unter 45 Jahre;04/1996;4625;422;722
40 bis unter 45 Jahre;04/1997;4646;477;704
40 bis unter 45 Jahre;04/1998;4688;493;705
40 bis unter 45 Jahre;04/1999;4885;465;696
40 bis unter 45 Jahre;05/2000;5047;427;694
40 bis unter 45 Jahre;04/2001;5202;449;674
40 bis unter 45 Jahre;04/2002;5309;523;677
40 bis unter 45 Jahre;05/2003;5415;595;673
40 bis unter 45 Jahre;03/2004;5505;649;698
40 bis unter 45 Jahre;2005;5835;628;749
40 bis unter 45 Jahre;2006;5984;562;716
40 bis unter 45 Jahre;2007;6085;467;744
40 bis unter 45 Jahre;2008;6084;407;741
40 bis unter 45 Jahre;2009;5944;411;727
40 bis unter 45 Jahre;2010;5804;353;696
40 bis unter 45 Jahre;2011;5529;274;639
40 bis unter 45 Jahre;2012;5303;240;616
40 bis unter 45 Jahre;2013;5032;220;591
40 bis unter 45 Jahre;2014;4707;203;567
40 bis unter 45 Jahre;2015;4459;177;573
40 bis unter 45 Jahre;2016;4339;156;550
40 bis unter 45 Jahre;2017;4215;139;541
40 bis unter 45 Jahre;2018;4248;125;520
40 bis unter 45 Jahre;2019;4368;128;510
45 bis unter 50 Jahre;04/1991;4061;238;769
45 bis unter 50 Jahre;05/1992;3831;275;718
45 bis unter 50 Jahre;04/1993;3755;309;705
45 bis unter 50 Jahre;04/1994;3698;359;681
45 bis unter 50 Jahre;04/1995;3823;375;682
45 bis unter 50 Jahre;04/1996;4168;389;772
45 bis unter 50 Jahre;04/1997;4313;459;748
45 bis unter 50 Jahre;04/1998;4424;476;756
45 bis unter 50 Jahre;04/1999;4553;445;725
45 bis unter 50 Jahre;05/2000;4593;421;703
45 bis unter 50 Jahre;04/2001;4661;433;681
45 bis unter 50 Jahre;04/2002;4715;483;662
45 bis unter 50 Jahre;05/2003;4699;541;658
45 bis unter 50 Jahre;03/2004;4758;601;665
45 bis unter 50 Jahre;2005;4896;544;698
45 bis unter 50 Jahre;2006;5049;501;690
45 bis unter 50 Jahre;2007;5234;427;688
45 bis unter 50 Jahre;2008;5475;380;717
45 bis unter 50 Jahre;2009;5594;402;741
45 bis unter 50 Jahre;2010;5746;363;735
45 bis unter 50 Jahre;2011;5787;293;718
45 bis unter 50 Jahre;2012;5850;262;713
45 bis unter 50 Jahre;2013;5835;246;698
45 bis unter 50 Jahre;2014;5718;233;699
45 bis unter 50 Jahre;2015;5629;214;661
45 bis unter 50 Jahre;2016;5569;167;632
45 bis unter 50 Jahre;2017;5342;149;600
45 bis unter 50 Jahre;2018;5006;132;574
45 bis unter 50 Jahre;2019;4763;114;536
50 bis unter 55 Jahre;04/1991;4708;312;1293
50 bis unter 55 Jahre;05/1992;4741;409;1265
50 bis unter 55 Jahre;04/1993;4567;477;1217
50 bis unter 55 Jahre;04/1994;4370;495;1164
50 bis unter 55 Jahre;04/1995;4065;466;1072
50 bis unter 55 Jahre;04/1996;3651;414;1013
50 bis unter 55 Jahre;04/1997;3431;433;930
50 bis unter 55 Jahre;04/1998;3406;431;917
50 bis unter 55 Jahre;04/1999;3467;406;870
50 bis unter 55 Jahre;05/2000;3663;402;880
50 bis unter 55 Jahre;04/2001;3989;433;943
50 bis unter 55 Jahre;04/2002;4109;481;928
50 bis unter 55 Jahre;05/2003;4172;555;901
50 bis unter 55 Jahre;03/2004;4187;599;885
50 bis unter 55 Jahre;2005;4202;527;862
50 bis unter 55 Jahre;2006;4326;503;859
50 bis unter 55 Jahre;2007;4475;407;843
50 bis unter 55 Jahre;2008;4618;360;859
50 bis unter 55 Jahre;2009;4722;361;870
50 bis unter 55 Jahre;2010;4908;334;876
50 bis unter 55 Jahre;2011;5001;275;837
50 bis unter 55 Jahre;2012;5192;261;846
50 bis unter 55 Jahre;2013;5325;253;853
50 bis unter 55 Jahre;2014;5483;245;865
50 bis unter 55 Jahre;2015;5680;226;867
50 bis unter 55 Jahre;2016;5925;204;876
50 bis unter 55 Jahre;2017;5992;171;832
50 bis unter 55 Jahre;2018;5986;149;811
50 bis unter 55 Jahre;2019;5908;133;776
55 bis unter 60 Jahre;04/1991;2706;300;1904
55 bis unter 60 Jahre;05/1992;2670;337;2182
55 bis unter 60 Jahre;04/1993;2767;448;2364
55 bis unter 60 Jahre;04/1994;2990;568;2346
55 bis unter 60 Jahre;04/1995;3221;656;2291
55 bis unter 60 Jahre;04/1996;3306;727;2237
55 bis unter 60 Jahre;04/1997;3401;854;2129
55 bis unter 60 Jahre;04/1998;3331;848;1997
55 bis unter 60 Jahre;04/1999;3266;800;1857
55 bis unter 60 Jahre;05/2000;3105;658;1735
55 bis unter 60 Jahre;04/2001;2897;587;1533
55 bis unter 60 Jahre;04/2002;2808;513;1403
55 bis unter 60 Jahre;05/2003;2782;540;1315
55 bis unter 60 Jahre;03/2004;2858;549;1272
55 bis unter 60 Jahre;2005;3039;475;1289
55 bis unter 60 Jahre;2006;3310;493;1354
55 bis unter 60 Jahre;2007;3521;428;1345
55 bis unter 60 Jahre;2008;3707;358;1337
55 bis unter 60 Jahre;2009;3803;339;1297
55 bis unter 60 Jahre;2010;3904;324;1248
55 bis unter 60 Jahre;2011;3958;269;1148
55 bis unter 60 Jahre;2012;4099;240;1142
55 bis unter 60 Jahre;2013;4231;237;1115
55 bis unter 60 Jahre;2014;4408;215;1110
55 bis unter 60 Jahre;2015;4568;210;1136
55 bis unter 60 Jahre;2016;4843;178;1107
55 bis unter 60 Jahre;2017;5017;155;1090
55 bis unter 60 Jahre;2018;5262;142;1109
55 bis unter 60 Jahre;2019;5472;138;1083
60 bis unter 65 Jahre;04/1991;910;70;3566
60 bis unter 65 Jahre;05/1992;842;80;3631
60 bis unter 65 Jahre;04/1993;798;88;3606
60 bis unter 65 Jahre;04/1994;783;90;3577
60 bis unter 65 Jahre;04/1995;815;93;3642
60 bis unter 65 Jahre;04/1996;864;89;3775
60 bis unter 65 Jahre;04/1997;934;94;3947
60 bis unter 65 Jahre;04/1998;1011;103;4196
60 bis unter 65 Jahre;04/1999;1103;139;4423
60 bis unter 65 Jahre;05/2000;1186;136;4634
60 bis unter 65 Jahre;04/2001;1286;154;4609
60 bis unter 65 Jahre;04/2002;1394;193;4550
60 bis unter 65 Jahre;05/2003;1392;227;4340
